entity_id,header_timestamp,trip_id,route_id,vehicle_id,vehicle_label,latitude,longitude,bearing,speed,timestamp,stop_id,current_status
000003,1774557103,093650_1..N03R,1,,,0.0,0.0,0.0,0.0,1774557072,101N,1
000005,1774557103,093850_1..S03R,1,,,0.0,0.0,0.0,0.0,1774557095,138S,1
000007,1774557103,094150_1..N03R,1,,,0.0,0.0,0.0,0.0,1774557096,104N,1
000009,1774557103,094350_1..S03R,1,,,0.0,0.0,0.0,0.0,1774557033,132S,1
000011,1774557103,094650_1..N03R,1,,,0.0,0.0,0.0,0.0,1774557095,111N,2
000013,1774557103,094850_1..S03R,1,,,0.0,0.0,0.0,0.0,1774557063,129S,1
000015,1774557103,095150_1..N03R,1,,,0.0,0.0,0.0,0.0,1774557055,113N,1
000017,1774557103,095350_1..S03R,1,,,0.0,0.0,0.0,0.0,1774557075,127S,1
000019,1774557103,095650_1..N03R,1,,,0.0,0.0,0.0,0.0,1774557083,115N,1
000021,1774557103,095900_1..S11R,1,,,0.0,0.0,0.0,0.0,1774557073,126S,2
000023,1774557103,096150_1..S03R,1,,,0.0,0.0,0.0,0.0,1774557097,123S,2
000025,1774557103,096150_1..N03R,1,,,0.0,0.0,0.0,0.0,1774557100,120N,0
000027,1774557103,096650_1..N03R,1,,,0.0,0.0,0.0,0.0,1774557095,123N,1
000029,1774557103,096700_1..S11R,1,,,0.0,0.0,0.0,0.0,1774557053,120S,1
000031,1774557103,096950_1..S03R,1,,,0.0,0.0,0.0,0.0,1774557090,117S,2
000033,1774557103,097150_1..N03R,1,,,0.0,0.0,0.0,0.0,1774557098,125N,1
000035,1774557103,097350_1..S03R,1,,,0.0,0.0,0.0,0.0,1774557097,115S,1
000037,1774557103,097650_1..N03R,1,,,0.0,0.0,0.0,0.0,1774557057,129N,1
000039,1774557103,097750_1..S03R,1,,,0.0,0.0,0.0,0.0,1774557072,112S,1
000041,1774557103,098150_1..N03R,1,,,0.0,0.0,0.0,0.0,1774557100,132N,2
000043,1774557103,098300_1..S11R,1,,,0.0,0.0,0.0,0.0,1774557099,111S,2
000045,1774557103,098550_1..S03R,1,,,0.0,0.0,0.0,0.0,1774557101,107S,2
000047,1774557103,098650_1..N03R,1,,,0.0,0.0,0.0,0.0,1774557097,136N,1
000049,1774557103,098950_1..S03R,1,,,0.0,0.0,0.0,0.0,1774557095,104S,1
000051,1774557103,099150_1..N03R,1,,,0.0,0.0,0.0,0.0,1774557094,139N,2
000068,1774557103,088800_2..N,2,,,0.0,0.0,0.0,0.0,1774557097,201N,2
000070,1774557103,089550_2..N01R,2,,,0.0,0.0,0.0,0.0,1774557100,207N,2
000072,1774557103,089900_2..S01X302,2,,,0.0,0.0,0.0,0.0,1774557083,247S,2
000074,1774557103,090350_2..N01R,2,,,0.0,0.0,0.0,0.0,1774557085,208N,2
000076,1774557103,090850_2..S01X302,2,,,0.0,0.0,0.0,0.0,1774557058,242S,1
000078,1774557103,091550_2..S01R,2,,,0.0,0.0,0.0,0.0,1774557074,235S,1
000080,1774557103,092000_2..N01R,2,,,0.0,0.0,0.0,0.0,1774557046,220N,1
000082,1774557103,092350_2..S01R,2,,,0.0,0.0,0.0,0.0,1774557051,229S,1
000084,1774557103,092600_2..N01R,2,,,0.0,0.0,0.0,0.0,1774557093,222N,2
000086,1774557103,093000_2..S01R,2,,,0.0,0.0,0.0,0.0,1774557094,137S,2
000088,1774557103,093200_2..N01R,2,,,0.0,0.0,0.0,0.0,1774557062,224N,1
000090,1774557103,093700_2..S01R,2,,,0.0,0.0,0.0,0.0,1774557089,128S,1
000092,1774557103,093950_2..N01R,2,,,0.0,0.0,0.0,0.0,1774557098,227N,2
000094,1774557103,094400_2..S01R,2,,,0.0,0.0,0.0,0.0,1774557069,123S,1
000096,1774557103,094950_2..S01R,2,,,0.0,0.0,0.0,0.0,1774557050,227S,1
000098,1774557103,095500_2..N01R,2,,,0.0,0.0,0.0,0.0,1774557087,137N,1
000100,1774557103,095550_2..S01R,2,,,0.0,0.0,0.0,0.0,1774557097,222S,2
